,Uncet
21/09/1927,4.796264835
22/09/1927,4.807734637
23/09/1927,4.813092353
24/09/1927,4.823469358
26/09/1927,4.829288641
27/09/1927,4.828497003
28/09/1927,4.83660376
29/09/1927,4.833580959
30/09/1927,4.841314827
01/10/1927,4.847601553
03/10/1927,4.848955141
04/10/1927,4.852613429
05/10/1927,4.856123421
06/10/1927,4.857744754
07/10/1927,4.859705051
08/10/1927,4.8596123
10/10/1927,4.859164763
11/10/1927,4.856252597
13/10/1927,4.853120585
14/10/1927,4.857406369
15/10/1927,4.863067723
17/10/1927,4.858397896
18/10/1927,4.867387614
19/10/1927,4.86510828
20/10/1927,4.859916886
21/10/1927,4.864701615
22/10/1927,4.870519956
24/10/1927,4.873517402
25/10/1927,4.883817763
26/10/1927,4.887259258
27/10/1927,4.895479666
28/10/1927,4.898472607
29/10/1927,4.900006215
31/10/1927,4.907891184
01/11/1927,4.914635221
02/11/1927,4.920970401
03/11/1927,4.92548809
04/11/1927,4.925162174
05/11/1927,4.919371565
07/11/1927,4.91877438
09/11/1927,4.921461205
10/11/1927,4.924308243
11/11/1927,4.924491293
12/11/1927,4.933890866
14/11/1927,4.932094032
15/11/1927,4.93653146
16/11/1927,4.935284862
17/11/1927,4.936571776
18/11/1927,4.934825165
19/11/1927,4.9365745
21/11/1927,4.932591007
22/11/1927,4.937561438
23/11/1927,4.939130949
25/11/1927,4.936548322
26/11/1927,4.932796729
28/11/1927,4.933035501
29/11/1927,4.930165085
30/11/1927,4.927480037
01/12/1927,4.923889121
02/12/1927,4.921633698
03/12/1927,4.917976433
05/12/1927,4.918947114
06/12/1927,4.915070886
07/12/1927,4.919490714
08/12/1927,4.924164454
09/12/1927,4.91998974
10/12/1927,4.919425052
12/12/1927,4.910283074
13/12/1927,4.908057947
14/12/1927,4.902113057
15/12/1927,4.902251938
16/12/1927,4.897491024
17/12/1927,4.894392406
19/12/1927,4.895114497
20/12/1927,4.892938374
21/12/1927,4.890996961
22/12/1927,4.892925559
23/12/1927,4.891008069
24/12/1927,4.895812844
27/12/1927,4.889318825
28/12/1927,4.889507479
29/12/1927,4.894133809
30/12/1927,4.888779318
31/12/1927,4.890085929
03/01/1928,4.892102238
04/01/1928,4.891325251
05/01/1928,4.893167637
06/01/1928,4.894287522
07/01/1928,4.901140919
09/01/1928,4.903747008
10/01/1928,4.90472416
11/01/1928,4.911377586
12/01/1928,4.91481051
13/01/1928,4.913982246
14/01/1928,4.915643854
16/01/1928,4.919104887
17/01/1928,4.921920631
18/01/1928,4.922602854
19/01/1928,4.917039047
20/01/1928,4.91974145
21/01/1928,4.921138394
23/01/1928,4.925580072
24/01/1928,4.926903888
25/01/1928,4.928419514
26/01/1928,4.931108482
27/01/1928,4.936017008
28/01/1928,4.944193669
30/01/1928,4.95354761
31/01/1928,4.95891816
01/02/1928,4.964444179
02/02/1928,4.973995002
03/02/1928,4.987796213
04/02/1928,4.99205078
06/02/1928,5.00558867
07/02/1928,5.018803191
08/02/1928,5.026467366
09/02/1928,5.038618494
10/02/1928,5.049377888
11/02/1928,5.06199028
14/02/1928,5.077353498
15/02/1928,5.079767902
16/02/1928,5.094716992
17/02/1928,5.106245954
18/02/1928,5.122139259
20/02/1928,5.134961928
21/02/1928,5.147701647
23/02/1928,5.162061819
24/02/1928,5.176019494
25/02/1928,5.190826179
27/02/1928,5.201449969
28/02/1928,5.215823669
29/02/1928,5.236326242
01/03/1928,5.250410295
02/03/1928,5.264579957
03/03/1928,5.280891921
05/03/1928,5.301513567
06/03/1928,5.31466458
07/03/1928,5.332387814
08/03/1928,5.342434182
09/03/1928,5.357497478
10/03/1928,5.369054751
12/03/1928,5.37984652
13/03/1928,5.387837045
14/03/1928,5.395964108
15/03/1928,5.405334407
16/03/1928,5.417201128
17/03/1928,5.427743131
19/03/1928,5.432716722
20/03/1928,5.445273578
21/03/1928,5.449867805
22/03/1928,5.45419816
23/03/1928,5.46496412
24/03/1928,5.475541865
26/03/1928,5.475925495
27/03/1928,5.479565635
28/03/1928,5.490659535
29/03/1928,5.500303285
30/03/1928,5.509092734
31/03/1928,5.522291618
02/04/1928,5.528422431
03/04/1928,5.536095283
04/04/1928,5.53489404
05/04/1928,5.542721665
09/04/1928,5.542977662
10/04/1928,5.549387264
11/04/1928,5.552358719
12/04/1928,5.552640673
13/04/1928,5.55486668
14/04/1928,5.550175457
16/04/1928,5.545993858
17/04/1928,5.55116583
18/04/1928,5.556668295
19/04/1928,5.559088018
20/04/1928,5.558281238
23/04/1928,5.552572631
24/04/1928,5.547948318
25/04/1928,5.553157013
26/04/1928,5.556804448
27/04/1928,5.558835701
28/04/1928,5.555033534
30/04/1928,5.557043605
01/05/1928,5.559481771
02/05/1928,5.551445425
03/05/1928,5.54841263
04/05/1928,5.538149777
07/05/1928,5.528974478
08/05/1928,5.515606335
09/05/1928,5.504840613
10/05/1928,5.496928908
11/05/1928,5.490155853
14/05/1928,5.48086136
15/05/1928,5.465445065
16/05/1928,5.459156246
17/05/1928,5.444812706
18/05/1928,5.435752701
21/05/1928,5.428693846
22/05/1928,5.424411237
23/05/1928,5.413603297
24/05/1928,5.402401441
25/05/1928,5.394662171
28/05/1928,5.389594595
29/05/1928,5.37821001
31/05/1928,5.370363911
01/06/1928,5.355191256
02/06/1928,5.339297329
04/06/1928,5.326609233
05/06/1928,5.318654244
06/06/1928,5.314715655
07/06/1928,5.307713408
08/06/1928,5.292931643
09/06/1928,5.274854943
11/06/1928,5.258195874
12/06/1928,5.237793004
13/06/1928,5.220028958
14/06/1928,5.206868365
15/06/1928,5.202380482
16/06/1928,5.195207632
18/06/1928,5.191667281
19/06/1928,5.1782594
20/06/1928,5.165971852
21/06/1928,5.16236451
22/06/1928,5.147988243
23/06/1928,5.140144916
25/06/1928,5.128436592
