Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,124.879997,124.879997,124.879997,124.879997,89.208519,0
2000-11-14,127.820000,127.820000,127.820000,127.820000,91.308739,0
2000-11-15,128.470001,128.470001,128.470001,128.470001,91.773041,0
2000-11-16,126.860001,126.860001,126.860001,126.860001,90.622940,0
2000-11-17,126.440002,126.440002,126.440002,126.440002,90.322945,0
2000-11-20,124.120003,124.120003,124.120003,124.120003,88.665642,0
2000-11-21,124.559998,124.559998,124.559998,124.559998,88.979942,0
2000-11-22,122.260002,122.260002,122.260002,122.260002,87.336929,0
2000-11-24,124.059998,124.059998,124.059998,124.059998,88.622749,0
2000-11-27,124.730003,124.730003,124.730003,124.730003,89.101379,0
2000-11-28,123.540001,123.540001,123.540001,123.540001,88.251289,0
2000-11-29,124.110001,124.110001,124.110001,124.110001,88.658463,0
2000-11-30,121.620003,121.620003,121.620003,121.620003,86.879738,0
2000-12-01,121.650002,121.650002,121.650002,121.650002,86.901146,0
2000-12-04,122.550003,122.550003,122.550003,122.550003,87.544090,0
2000-12-05,127.330002,127.330002,127.330002,127.330002,90.958710,0
2000-12-06,125.029999,125.029999,125.029999,125.029999,89.315666,0
2000-12-07,124.309998,124.309998,124.309998,124.309998,88.801361,0
2000-12-08,126.750000,126.750000,126.750000,126.750000,90.544357,0
2000-12-11,127.720001,127.720001,127.720001,127.720001,91.237289,0
2000-12-12,126.900002,126.900002,126.900002,126.900002,90.651543,0
2000-12-13,125.889999,125.889999,125.889999,125.889999,89.930031,0
2000-12-14,124.120003,124.120003,124.120003,124.120003,88.665642,0
2000-12-15,121.459999,121.459999,121.459999,121.459999,86.765434,0
2000-12-18,122.440002,122.440002,122.440002,122.440002,87.465469,0
2000-12-19,120.860001,120.860001,120.860001,120.860001,86.336830,0
2000-12-20,117.080002,117.080002,117.080002,117.080002,83.636581,0
2000-12-21,118.019997,118.019997,118.019997,118.019997,84.308029,0
2000-12-22,120.519997,120.519997,120.519997,120.519997,86.093941,0
2000-12-26,121.370003,121.370003,121.370003,121.370003,86.701164,0
2000-12-27,122.660004,122.660004,122.660004,122.660004,87.622673,0
2000-12-28,123.150002,123.150002,123.150002,123.150002,87.972672,0
2000-12-29,121.860001,121.860001,121.860001,121.860001,87.051178,0
2001-01-02,118.440002,118.440002,118.440002,118.440002,84.608086,0
2001-01-03,124.410004,124.410004,124.410004,124.410004,88.872795,0
2001-01-04,123.099998,123.099998,123.099998,123.099998,87.936974,0
2001-01-05,119.860001,119.860001,119.860001,119.860001,85.622482,0
2001-01-08,119.660004,119.660004,119.660004,119.660004,85.479576,0
2001-01-09,120.120003,120.120003,120.120003,120.120003,85.808212,0
2001-01-10,121.279999,121.279999,121.279999,121.279999,86.636887,0
2001-01-11,122.529999,122.529999,122.529999,122.529999,87.529785,0
2001-01-12,121.750000,121.750000,121.750000,121.750000,86.972595,0
2001-01-16,122.519997,122.519997,122.519997,122.519997,87.522659,0
2001-01-17,122.790001,122.790001,122.790001,122.790001,87.715523,0
2001-01-18,124.500000,124.500000,124.500000,124.500000,88.937073,0
2001-01-19,124.000000,124.000000,124.000000,124.000000,88.579926,0
2001-01-22,124.029999,124.029999,124.029999,124.029999,88.601318,0
2001-01-23,125.639999,125.639999,125.639999,125.639999,89.751450,0
2001-01-24,126.010002,126.010002,126.010002,126.010002,90.015755,0
2001-01-25,125.379997,125.379997,125.379997,125.379997,89.565681,0
